f0,adult,group,gender,speaker
242,child,g,female,28
196,child,g,female,29
255,child,g,female,30
227,child,g,female,31
222,child,g,female,32
242,child,g,female,33
266,child,g,female,34
265,child,g,female,35
237,child,g,female,36
230,child,g,female,37
240,child,g,female,38
251,child,g,female,39
194,child,g,female,40
226,child,g,female,41
208,child,g,female,42
219,child,g,female,43
248,child,g,female,44
227,child,g,female,45
227,child,g,female,46
225,adult,w,female,92
214,adult,w,female,93
192,adult,w,female,94
233,adult,w,female,95
223,adult,w,female,96
223,adult,w,female,97
176,adult,w,female,98
238,adult,w,female,99
251,adult,w,female,100
227,adult,w,female,101
188,adult,w,female,102
229,adult,w,female,103
237,adult,w,female,104
214,adult,w,female,105
226,adult,w,female,106
202,adult,w,female,107
212,adult,w,female,108
237,adult,w,female,109
187,adult,w,female,110
217,adult,w,female,111
186,adult,w,female,112
213,adult,w,female,113
248,adult,w,female,114
220,adult,w,female,115
168,adult,w,female,116
246,adult,w,female,117
225,adult,w,female,118
238,adult,w,female,119
238,adult,w,female,120
205,adult,w,female,121
208,adult,w,female,122
235,adult,w,female,123
218,adult,w,female,124
211,adult,w,female,125
200,adult,w,female,126
192,adult,w,female,127
219,adult,w,female,128
192,adult,w,female,129
197,adult,w,female,130
216,adult,w,female,131
222,adult,w,female,132
230,adult,w,female,133
208,adult,w,female,134
156,adult,w,female,135
211,adult,w,female,136
210,adult,w,female,137
209,adult,w,female,138
209,adult,w,female,139
238,child,g,female,28
208,child,g,female,29
246,child,g,female,30
204,child,g,female,31
225,child,g,female,32
227,child,g,female,33
249,child,g,female,34
245,child,g,female,35
218,child,g,female,36
240,child,g,female,37
200,child,g,female,38
241,child,g,female,39
189,child,g,female,40
233,child,g,female,41
248,child,g,female,42
214,child,g,female,43
235,child,g,female,44
234,child,g,female,45
215,child,g,female,46
211,adult,w,female,92
209,adult,w,female,93
192,adult,w,female,94
216,adult,w,female,95
226,adult,w,female,96
211,adult,w,female,97
173,adult,w,female,98
243,adult,w,female,99
240,adult,w,female,100
223,adult,w,female,101
191,adult,w,female,102
216,adult,w,female,103
226,adult,w,female,104
211,adult,w,female,105
226,adult,w,female,106
189,adult,w,female,107
205,adult,w,female,108
239,adult,w,female,109
193,adult,w,female,110
216,adult,w,female,111
178,adult,w,female,112
207,adult,w,female,113
259,adult,w,female,114
212,adult,w,female,115
170,adult,w,female,116
250,adult,w,female,117
235,adult,w,female,118
248,adult,w,female,119
232,adult,w,female,120
202,adult,w,female,121
213,adult,w,female,122
241,adult,w,female,123
211,adult,w,female,124
201,adult,w,female,125
208,adult,w,female,126
175,adult,w,female,127
217,adult,w,female,128
212,adult,w,female,129
198,adult,w,female,130
200,adult,w,female,131
226,adult,w,female,132
212,adult,w,female,133
195,adult,w,female,134
150,adult,w,female,135
207,adult,w,female,136
218,adult,w,female,137
224,adult,w,female,138
234,adult,w,female,139
240,child,g,female,28
217,child,g,female,29
244,child,g,female,30
210,child,g,female,31
224,child,g,female,32
233,child,g,female,33
